Case Numbers,Total Records by Case,Project Name,Net Units,Block Lot,Min Filed,Max Action,Allowed Height,Plan Area,Case Decision Date,Case Decision,Q4 Report Status,Last Planning Suffix,Last Planning Action,Days,EP Complete,EP Interim,EP Open,Cat Ex 32,CPE,Neg Dec,EIR,E,C,V,X,D,A,R,Total,Diff,Multiple,Cancelled Planning,Cancelled BP,In Current Planning,BP Reinstated,BP Issued,Occupancy Permit,Planning Approved,Case # in Q4 Report,Blocklot in Q4 Report,In Q4 Report,Possibly Missing Data,Final Status,Case Year,Filing Year,Action Year,Should Be,Reason,Project Size Class
2007.0730,1,440 29th street,1,#N/A,7/20/2007,11/20/2008,#N/A,#N/A,11/20/2008,Approved,0,D,Approved,489,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2007,2007,2008,,,Small
2007.0734,1,4658 18th street,1,2658018,7/20/2007,8/22/2007,40,0,8/22/2007,Withdrawn,0,D,Withdrawn,33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Cancelled,2007,2007,2007,,,Small
2007.0763,1,2156 bush st,1,0660013,7/24/2007,12/12/2007,40,0,4/7/2008,Approved,0,V,Approved,141,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2007,2007,2007,,,Small
2007.0785,2,bosworth and lyell,1,6753063,7/26/2007,4/14/2009,40,0,,Approved,BP Filed,V,Approved,628,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,Approved,2007,2007,2009,,,Small
2007.0816,2,894 folsom st,1,3733028,7/27/2007,10/16/2008,85,1,,Approved,0,D,Approved,447,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2007,2007,2008,,,Small
2007.0819,1,1808 bush st,1,#N/A,7/27/2007,1/17/2008,#N/A,#N/A,,Approved,0,E,EP Complete,174,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2007,2007,2008,,,Small
2007.0875,1,145 girard st,1,5925024,8/9/2007,10/31/2007,40,0,10/31/2007,Approved,0,V,Approved,83,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2007,2007,2007,,,Small
2007.0903,2,treasure i /yerba b i dev area plan,7800,1939001,8/9/2007,4/21/2011,0,0,4/21/2011,Approved,PL Approved,E,EP Complete,1351,1,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,1,1,0,Open,2007,2007,2011,,,Large
2009.0699,1,1960 market st,115,#N/A,7/27/2009,9/15/2009,#N/A,#N/A,9/15/2009,,0,C,Approved,50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,Approved,2009,2009,2009,,,Large
2007.0926,1,455 bartlett st,1,6529015A,8/16/2007,1/23/2008,45,1,1/23/2008,Approved,0,V,Approved,160,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2007,2007,2008,,,Small
2007.0928,1,570 townsend st,85,3784085,8/16/2007,5/18/2009,65,1,5/18/2009,Cancelled,0,E,Cancelled,641,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Cancelled,2007,2007,2009,,,Large
2007.0931,1,5352 mission st,1,7043002A,8/16/2007,,40,0,,,0,C,No Action/Open,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Open,2007,2007,,,,Small
2007.0938,2,1742 jones st,1,0150025,8/21/2007,10/28/2008,40,0,10/28/2008,Approved,0,V,Approved,434,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2007,2007,2008,,,Small
2007.0946,3,candlestick point - hunters point s,10244,4884025,8/24/2007,12/11/2013,40,0,6/3/2010,Approved,PL APPROVED,E,EP Complete,2301,1,0,0,0,0,0,1,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1,1,0,1,0,Approved,2007,2007,2013,,,Large
2006.0157,2,21 wood street,1,1069004,2/7/2006,8/23/2007,40,0,8/2/2007,Cancelled,0,C,Notice of Special Restriction,562,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,Cancelled,2006,2006,2007,Cancelled,,Small
2006.0161,1,21 wood street,1,#N/A,2/7/2006,8/2/2007,#N/A,#N/A,,Cancelled,0,D,Cancelled,541,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Cancelled,2006,2006,2007,,,Small
2007.0980,3,220 golden gate av,74,0345004,8/13/2007,9/10/2008,80,0,9/10/2008,Approved,0,V,Approved,394,1,0,0,1,0,0,0,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2007,2007,2008,,,Large
2007.0981,3,953 treat av,4,3639028,8/22/2007,6/16/2008,40,1,,CEQA,0,V,Approved,299,1,0,0,0,0,0,0,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2007,2007,2008,,,Small
2007.0983,1,1140 potrero av,1,4211009,8/17/2007,8/31/2007,55,1,,CEQA,0,E,EP Complete,14,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2007,2007,2007,,,Small
2007.0984,1,85 brosnan st,3,3533165,8/20/2007,9/11/2007,40,1,,CEQA,BP REINSTATED,E,EP Complete,22,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,Approved,2007,2007,2007,,,Small
2004.0879,2,2151 green st,5,#N/A,8/31/2004,1/8/2008,#N/A,#N/A,10/10/2006,Withdrawn,0,E,EP Interim,1225,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,Cancelled,2004,2004,2008,,,Small
2007.1015,2,12 sherman st,3,3754042,9/6/2007,4/17/2009,45,1,,Approved,BP ISSUED,E,EP Complete,589,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,Approved,2007,2007,2009,,,Small
2007.1035,3,350 8th street,416,3756003,9/7/2007,12/6/2012,40,1,1/9/2014,Approved,BP Filed,C,Approved,1917,2,0,0,0,0,0,1,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,1,0,Approved,2007,2007,2012,,,Large
2007.1043,1,2857 22nd st,1,4148001A,9/11/2007,11/19/2007,40,1,11/19/2007,Approved,0,V,Approved,69,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2007,2007,2007,,,Small
2007.1058,1,126 museum wy,1,#N/A,9/12/2007,12/7/2007,#N/A,#N/A,,,0,E,EP Interim,86,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Cancelled,2007,2007,2007,,,Small
2006.1451,1,2151 green st,1,0557019,11/30/2006,5/2/2008,40,0,5/13/2008,Approved,0,E,Withdrawn,519,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,Cancelled,2006,2006,2008,Withdrawn,Application withdrawn,Small
2007.1066,1,3968 26th st,1,6552017,9/13/2007,2/1/2008,40,0,2/1/2008,Approved,0,V,Approved,141,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2007,2007,2008,,,Small
2007.1072,1,1727 lombard street,52,0506036,9/14/2007,8/8/2008,40,0,,Disapproved,PL Filed,C,Denied,329,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,Cancelled,2007,2007,2008,,,Large
2007.1073,1,1916 octavia street,22,0640011,9/14/2007,,40,0,,,0,C,No Action/Open,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Open,2007,2007,,,,Medium
2007.1076,1,817 sutter street,112,0299021,9/14/2007,,80,0,,,0,C,No Action/Open,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Open,2007,2007,,,,Large
2007.1077,1,860 sutter street,39,0281006,9/14/2007,,160,0,,,0,C,No Action/Open,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Open,2007,2007,,,,Medium
2010.0597,1,2151 green st,1,0557061,7/20/2010,1/24/2011,40,0,,,0,E,EP Complete,188,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,Approved,2010,2010,2011,,,Small
2007.1096,1,450 o'farrell st,144,0317007,9/19/2007,3/20/2009,130,0,,CEQA,0,E,Cancelled,548,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Cancelled,2007,2007,2009,,,Large
2007.1103,1,3929 19th st,1,3601072,9/20/2007,8/27/2008,40,0,8/27/2008,Approved,0,V,Approved,342,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2007,2007,2008,,,Small
2007.1117,3,1731 powell st,15,0101004,9/25/2007,10/28/2010,40,0,1/8/2009,Approved,BP APPROVED,C,Approved,1129,1,0,0,1,0,0,0,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,1,0,Approved,2007,2007,2010,,,Medium
2007.1118,1,174 henry st,1,#N/A,9/25/2007,10/11/2011,#N/A,#N/A,,,0,E,Cancelled,1477,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Cancelled,2007,2007,2011,,,Small
2006.1060,3,2175 market street,60,3543011,8/31/2006,4/18/2012,50,1,4/18/2012,Withdrawn,CONSTRUCTION,E,New Case,2057,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,0,1,0,0,2,0,0,0,0,0,1,1,0,Open,2006,2006,2012,,,Large
2007.1122,2,425 bryant st,1,3775095,9/27/2007,5/26/2009,45,1,,Withdrawn,0,C,Withdrawn,607,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Cancelled,2007,2007,2009,,,Small
2007.1126,1,5800 03rd st,355,5431A001,9/28/2007,10/12/2007,65,0,10/27/2009,Approved,BP ISSUED,E,EP Complete,14,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,Approved,2007,2007,2007,,,Large
2007.1127,1,2914 folsom st,1,6525003,9/28/2007,1/4/2008,40,1,,,0,V,Approved,98,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2007,2007,2008,,,Small
2012.0110,4,2175 market street,88,3543011,4/18/2012,8/15/2013,50,1,12/27/2013,Approved,CONSTRUCTION,E,EP Interim,484,1,1,0,0,1,0,0,2,1,1,0,0,0,0,4,0,1,0,0,0,0,0,0,1,1,1,1,0,Approved,2012,2012,2013,,,Large
2007.1135,3,562 howard st,13,3721019,10/3/2007,7/27/2010,450,1,4/4/2012,Cancelled,0,V,Withdrawn,1028,1,0,0,0,0,1,0,1,0,1,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,Cancelled,2007,2007,2010,,,Medium
2007.1142,2,2162 revere av,1,5334016,1/4/2008,9/11/2008,40,0,9/11/2008,Approved,0,C,Approved,251,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,Approved,2007,2008,2008,,,Small
2007.1147,2,1232 sutter st,1,#N/A,10/5/2007,10/11/2011,#N/A,#N/A,,,0,E,Cancelled,1467,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Cancelled,2007,2007,2011,,,Small
2007.1154,1,4409-4411 cabrillo st,2,1688001A,10/10/2007,10/10/2007,40,0,,CEQA,BP Filed,E,EP Complete,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,Approved,2007,2007,2007,,,Small
2007.1156,2,350 linden st,6,0817069,10/10/2007,1/24/2011,40,1,1/24/2011,Approved,CONSTRUCTION,V,Approved,1202,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,Approved,2007,2007,2011,,,Small
2007.1162,1,2395 diamond st,1,7551033,10/10/2007,10/16/2007,40,0,,CEQA,BP Filed,E,EP Complete,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,Approved,2007,2007,2007,,,Small
2007.1345,1,2420 03rd st,2,4108003F,11/20/2007,11/5/2008,45,1,,Cancelled,BP ISSUED,E,Cancelled,351,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,Cancelled,2007,2007,2008,,,Small
2007.1209,1,2374 folsom st,2,#N/A,10/16/2007,10/16/2007,#N/A,#N/A,,CEQA,CONSTRUCTION,E,EP Complete,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,Approved,2007,2007,2007,,,Small
2007.1210,1,519 29th street,1,#N/A,10/16/2007,11/15/2007,#N/A,#N/A,11/15/2007,Approved,0,D,Approved,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2007,2007,2007,,,Small
2007.1215,1,152 elsie st,1,5618020,10/18/2007,9/15/2008,40,0,9/15/2008,Cancelled,0,V,Cancelled,333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Cancelled,2007,2007,2008,,,Small
2007.1230,3,49 grace st,5,3509027,10/23/2007,4/6/2009,50,1,,,BP Filed,V,Approved,531,1,0,0,0,0,0,0,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,1,0,Approved,2007,2007,2009,,,Small
2007.1240,2,152 07th av,1,1366032,10/22/2007,8/5/2009,40,0,3/13/2009,CEQA,0,E,EP Complete,653,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2007,2007,2009,,,Small
2007.1249,2,735 green st,4,0129031,10/29/2007,1/15/2010,40,0,,CEQA,0,E,EP Complete,809,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2007,2007,2010,,,Small
2007.1250,3,333 harrison street,315,3765713,10/29/2007,3/19/2009,65,0,4/5/2013,Approved,0,X,Approved,507,1,0,0,0,1,0,0,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2007,2007,2009,,,Large
2010.1082,1,2420 03rd st,1,4108003F,12/8/2010,6/30/2011,45,1,,Approved,BP ISSUED,E,EP Complete,204,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,Approved,2010,2010,2011,,,Small
2007.1264,1,3927 19th st,1,3601073,11/1/2007,11/5/2008,40,0,,Cancelled,BP Filed,E,Cancelled,370,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,Cancelled,2007,2007,2008,,,Small
2007.1334,2,1179-1189 tennessee st.,8,#N/A,11/15/2007,9/4/2008,#N/A,#N/A,7/10/2008,Approved,0,A,Approved,294,1,0,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2007,2007,2008,,,Small
2007.1336,1,633 27th av,1,1570003A,11/19/2007,11/21/2007,40,0,,CEQA,0,E,EP Complete,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2007,2007,2007,,,Small
2007.1337,3,134-140 new montgomery st,175,3722008,11/19/2007,1/8/2009,150,0,12/11/2008,Approved,0,V,Withdrawn,416,1,0,0,1,0,0,0,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2007,2007,2009,Approved,Variance withdrawn does not mean project withdrawn,Large
2007.1342,2,168 eddy st,170,0331010,11/20/2007,4/17/2009,130,0,3/26/2009,Approved,PL Approved,E,EP Complete,514,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,Approved,2007,2007,2009,,,Large
2007.1344,1,1949 oak st,3,1226028,11/20/2007,5/30/2008,40,0,5/30/2008,Approved,0,V,Approved,192,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2007,2007,2008,,,Small
2007.1470,2,248 ocean avenue,4,3211009,12/27/2007,5/15/2008,40,0,5/15/2008,Approved,0,D,Approved,140,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,Approved,2007,2007,2008,,,Small
2007.1347,1,3637-3657 sacramento st,18,#N/A,11/20/2007,11/5/2012,#N/A,#N/A,,,0,E,EP Interim,1812,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Cancelled,2007,2007,2012,,,Medium
2007.1351,1,83 panorama dr,1,2822010,11/21/2007,11/21/2007,40,0,,Approved,0,E,EP Complete,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2007,2007,2007,,,Small
2007.1360,1,658 03rd av,1,#N/A,11/27/2007,7/2/2008,#N/A,#N/A,7/10/2008,Approved,0,E,EP Complete,218,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2007,2007,2008,,,Small
2007.1383,4,474 natoma st,58,3725101,12/5/2007,12/16/2008,120,1,12/16/2008,Approved,CONSTRUCTION,V,Approved,377,1,0,0,1,0,0,0,1,1,1,1,0,0,0,4,0,0,0,0,0,0,0,0,1,1,1,1,0,Approved,2007,2007,2008,,,Large
2007.1391,1,107 lobos st,1,#N/A,12/6/2007,2/14/2008,#N/A,#N/A,2/14/2008,Approved,0,D,Approved,70,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2007,2007,2008,,,Small
2007.1394,1,446 diamond st,1,#N/A,12/7/2007,2/14/2008,#N/A,#N/A,,Approved,0,E,EP Complete,69,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2007,2007,2008,,,Small
2007.1397,2,1266 09th av,6,1742043,12/7/2007,10/16/2008,40,0,10/16/2008,Approved,CONSTRUCTION,C,Approved,314,1,0,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,Approved,2007,2007,2008,,,Small
2007.1399,2,3157 steiner st,1,#N/A,12/10/2007,10/16/2008,#N/A,#N/A,10/16/2008,Approved,0,D,Approved,311,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2007,2007,2008,,,Small
2007.1422,2,126 guerrero st,1,3534005,12/11/2007,9/26/2008,40,1,3/12/2009,Approved,0,V,Approved,290,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2007,2007,2008,,,Small
2007.1442,1,181 yukon street,1,2716014A,12/13/2007,1/6/2012,40,0,1/6/2012,Cancelled,0,V,Cancelled,1485,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Cancelled,2007,2007,2012,,,Small
2007.1457,1,1050 valencia st,16,3617008,12/20/2007,11/5/2013,55,1,,,BP ISSUED,E,EP Complete,2147,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,Approved,2007,2007,2013,,,Medium
2007.1464,4,1036-1040 mission st,100,3703079,12/21/2007,4/16/2014,120,0,1/14/2010,Approved,PL Approved,E,EP Complete,2308,1,0,0,0,0,0,0,1,1,1,1,0,0,0,4,0,0,0,0,0,0,0,0,1,1,1,1,0,Approved,2007,2007,2014,,,Large
