Case Numbers,Total Records by Case,Project Name,Net Units,Block Lot,Min Filed,Max Action,Allowed Height,Plan Area,Case Decision Date,Case Decision,Q4 Report Status,Last Planning Suffix,Last Planning Action,Days,EP Complete,EP Interim,EP Open,Cat Ex 32,CPE,Neg Dec,EIR,E,C,V,X,D,A,R,Total,Diff,Multiple,Cancelled Planning,Cancelled BP,In Current Planning,BP Reinstated,BP Issued,Occupancy Permit,Planning Approved,Case # in Q4 Report,Blocklot in Q4 Report,In Q4 Report,Possibly Missing Data,Final Status,Case Year,Filing Year,Action Year,Should Be,Reason,Project Size Class
2008.0502,1,248 ocean avenue,4,#N/A,5/1/2008,5/15/2008,#N/A,#N/A,5/17/2012,Approved,0,D,Approved,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,Approved,2008,2008,2008,,,Small
2007.1472,1,101 leland av,3,#N/A,12/27/2007,10/11/2011,#N/A,#N/A,,,BP Filed,E,Cancelled,1384,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,Cancelled,2007,2007,2011,,,Small
2007.1481,2,4035 18th st,1,3583082,12/31/2007,10/23/2008,40,0,10/23/2008,Approved,CONSTRUCTION,C,Approved,297,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,Approved,2007,2007,2008,,,Small
2007.1482,1,118 bache st,1,5826004,12/31/2007,,40,0,,,0,E,No Action/Open,-1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Open,2007,2007,,,,Small
2007.1484,2,838 kansas st,1,#N/A,12/31/2007,4/1/2010,#N/A,#N/A,4/1/2010,Approved,CONSTRUCTION,D,Approved,822,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,Approved,2007,2007,2010,,,Small
2007.1486,2,890 grove st,1,0797019,12/31/2007,7/9/2010,50,0,7/9/2010,,PL Approved,V,Approved,921,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,Approved,2007,2007,2010,,,Small
2008.0005,2,439 bowdoin st,1,5918026,1/3/2008,1/15/2009,40,0,1/15/2009,Approved,PL Approved,C,Approved,378,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,Approved,2008,2008,2009,,,Small
2008.0015,1,1076 hampshire st,2,#N/A,1/7/2008,3/10/2008,#N/A,#N/A,,Approved,0,E,EP Complete,63,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,Approved,2008,2008,2008,,,Small
2008.0017,1,435 24th av,2,#N/A,1/7/2008,9/18/2008,#N/A,#N/A,6/12/2008,Approved,0,E,EP Complete,255,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2008,2008,2008,,,Small
2008.0021,2,3711 19th avenue (parkmerced),5677,7303001,1/8/2008,2/10/2011,130,0,2/10/2011,Approved,PL APPROVED,E,Approved,1129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,Approved,2008,2008,2011,,,Large
2008.0023,1,461 29th st,1,6631033,1/8/2008,4/7/2008,40,0,,Approved,BP Filed,E,EP Complete,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,Approved,2008,2008,2008,,,Small
2006.1460,2,268 madison st,1,#N/A,12/1/2006,1/30/2008,#N/A,#N/A,3/24/2009,Approved,0,E,EP Complete,425,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,Open,2006,2006,2008,,,Small
2008.0042,3,50 reardon road,1,4700052,1/10/2008,4/28/2009,40,0,4/28/2008,Cancelled,0,C,Cancelled,474,1,0,0,0,0,0,0,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Cancelled,2008,2008,2009,,,Small
2008.0043,1,1328 silver av,2,5920013,1/10/2008,7/11/2008,40,0,7/11/2008,Disapproved,0,V,Denied,183,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Cancelled,2008,2008,2008,,,Small
2008.1382,1,268 madison st,77,#N/A,2/3/2009,3/24/2009,#N/A,#N/A,3/24/2009,Approved,0,D,Approved,49,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,2,0,1,1,Approved,2008,2009,2009,,,Large
2008.0072,1,2011 bayshore blvd/hester av,64,5054A093,10/30/2008,1/2/2009,40,0,1/17/2008,Approved,0,R,Approved,64,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2008,2008,2009,,,Large
2008.0078,2,3628 19th st,1,#N/A,1/16/2008,6/19/2008,#N/A,#N/A,6/19/2008,,0,D,Approved,155,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2008,2008,2008,,,Small
2008.0079,1,806 42nd av,1,1684004L,1/16/2008,1/18/2008,40,0,,Approved,0,E,EP Complete,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2008,2008,2008,,,Small
2008.0081,4,950 mason street,160,0244001,1/16/2008,4/19/2011,320,0,12/7/2010,,PL Filed,E,Withdrawn,1189,0,0,0,0,0,0,0,2,1,0,0,0,1,0,4,0,0,0,0,2,0,0,0,0,1,1,1,0,Open,2008,2008,2011,,,Large
2008.0082,3,56 ringold street,2,3756025,1/17/2008,12/3/2012,40,1,12/3/2012,Approved,BP ISSUED,V,Approved,1782,1,1,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,1,0,Approved,2008,2008,2012,,,Small
2008.0084,1,42 harriet st,2,3731101,5/21/2008,4/13/2009,50,1,5/3/2008,Approved,PL Approved,E,EP Complete,327,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,Approved,2008,2008,2009,,,Small
2008.0107,1,926 shotwell st,1,#N/A,1/24/2008,9/17/2008,#N/A,#N/A,9/19/2008,Approved,0,E,EP Complete,237,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2008,2008,2008,,,Small
2001.1056,2,280 divisadero st,2,1238023,10/30/2001,11/12/2009,40,0,3/20/2008,CEQA,0,E,EP Complete,2935,1,0,0,0,0,0,1,1,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,Cancelled,2001,2001,2009,,,Small
2008.0203,1,102 teddy av,2,6208002,2/21/2008,3/18/2008,40,0,,Approved,0,E,EP Complete,26,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2008,2008,2008,,,Small
2008.0207,1,879 dolores st,1,3618023,2/21/2008,6/26/2008,40,0,6/26/2008,Approved,0,V,Approved,126,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2008,2008,2008,,,Small
2008.0212,3,1101 junipero serra boulevard,8,7081B001,2/21/2008,1/5/2010,26,0,1/5/2010,Withdrawn,0,V,Withdrawn,684,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Cancelled,2008,2008,2010,,,Small
2008.0221,1,414 vallejo st,1,0133012,2/25/2008,8/20/2008,40,0,8/20/2008,Approved,CONSTRUCTION,V,Approved,177,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,Approved,2008,2008,2008,,,Small
2008.0312,2,280 divisadero st,1,1238023,3/13/2008,1/12/2012,40,0,9/1/2010,Disapproved,0,V,Cancelled,1400,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,Open,2008,2008,2012,,,Small
2008.1349,2,2919 laguna st,1,0531004,12/9/2008,10/22/2009,40,0,10/22/2009,Approved,PL Approved,D,Approved,317,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,1,1,1,1,0,Approved,2008,2008,2009,,,Small
2012.0239,1,2919 laguna st,1,0531004,3/6/2012,5/30/2012,40,0,5/31/2012,Withdrawn,PL Approved,E,Withdrawn,85,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,Cancelled,2012,2012,2012,,,Small
2008.0322,4,2948 fillmore st,1,0540017,3/17/2008,6/25/2009,40,0,6/25/2009,Approved,0,V,Approved,465,1,1,0,0,0,0,0,2,0,1,0,1,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,Approved,2008,2008,2009,,,Small
2008.0286,1,4801 mission st,6,6272030,3/5/2008,8/18/2008,65,0,7/25/2008,Approved,0,E,EP Complete,166,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2008,2008,2008,,,Small
2008.0288,1,1127 market st,98,3702046,3/6/2008,5/20/2009,120,0,,Withdrawn,PL Approved,E,Withdrawn,440,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,Cancelled,2008,2008,2009,,,Large
2008.0311,1,340 south van ness av,2,3548007,3/13/2008,12/1/2009,58,1,12/1/2009,Approved,0,V,Approved,628,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2008,2008,2009,,,Small
2009.0161,1,2948 fillmore st,1,#N/A,3/2/2009,6/25/2009,#N/A,#N/A,6/25/2009,Approved,0,D,Approved,115,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,Approved,2009,2009,2009,,,Small
2010.0501,3,3020 laguna st,1,0519029,6/28/2010,7/21/2011,40,0,,Approved,CONSTRUCTION,D,Approved,388,1,1,0,0,0,0,0,2,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,1,1,1,1,0,Approved,2010,2010,2011,,,Small
2011.0541,2,3020 laguna st,1,0519029,5/24/2011,9/15/2011,40,0,9/15/2011,Approved,CONSTRUCTION,V,Approved,114,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,1,0,1,1,0,Approved,2011,2011,2011,,,Small
2013.1355,3,3305 broderick st,1,0926008,9/22/2013,12/24/2013,40,0,,,PL Filed,E,EP Complete,93,2,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,1,0,0,1,0,0,0,0,2,1,1,0,Open,2013,2013,2013,,,Small
2014.0624,1,3305 broderick st,1,#N/A,4/24/2014,,#N/A,#N/A,,,0,D,No Action/Open,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,Open,2014,2014,,,,Small
2008.0382,1,104 bache st,2,5826002,3/27/2008,6/12/2008,40,0,6/12/2008,,BP ISSUED,V,Approved,77,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,Approved,2008,2008,2008,,,Small
2008.0388,3,2608 post st,2,1073008,3/31/2008,10/9/2009,40,0,10/9/2009,Approved,0,V,Approved,557,1,0,0,0,0,0,0,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2008,2008,2009,,,Small
2009.0606,2,34 pleasant st,1,0221021,7/7/2009,5/19/2011,65,0,5/19/2011,Approved,0,C,Approved,681,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,Approved,2009,2009,2011,,,Small
2008.0409,1,384 holladay av,3,#N/A,4/3/2008,8/19/2009,#N/A,#N/A,,Withdrawn,PL Approved,E,Withdrawn,503,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,Cancelled,2008,2008,2009,,,Small
2008.0419,3,1990 california st,11,0640010,4/8/2008,4/19/2011,40,0,4/19/2011,Cancelled,0,D,Cancelled,1106,1,0,0,0,0,0,0,1,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Cancelled,2008,2008,2011,,,Medium
2008.0430,3,2299 market street,18,3564091,4/14/2008,8/16/2010,50,0,8/6/2012,Approved,PL Approved,V,Approved,854,1,0,0,1,0,0,0,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,1,1,1,1,0,Approved,2008,2008,2010,,,Medium
2009.0906,2,34 pleasant st,1,0221020,9/28/2009,5/19/2011,65,0,8/5/2010,Approved,0,C,Approved,598,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,Approved,2009,2009,2011,,,Small
2008.0664,1,3418 26th st,6,6529034,6/4/2008,7/8/2008,55,1,7/11/2008,CEQA,0,E,EP Complete,34,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,Approved,2008,2008,2008,,,Small
2009.0610,2,3418 26th st,12,6529012,7/7/2009,11/8/2010,55,0,,CEQA,CONSTRUCTION,E,EP Complete,489,2,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,1,0,Approved,2009,2009,2010,,,Medium
2008.0505,5,1321 de haro street,2,4218036,5/1/2008,7/20/2010,40,1,10/15/2009,Approved,PL Approved,V,Approved,810,1,0,0,0,0,0,0,1,0,1,0,3,0,0,5,0,0,0,0,0,0,0,0,1,1,1,1,0,Approved,2008,2008,2010,,,Small
2008.0538,2,1490 ocean avenue,13,3197010,5/5/2008,6/6/2013,45,1,6/6/2013,Approved,BP Filed,C,Approved,1858,1,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,Approved,2008,2008,2013,,,Medium
2008.0550,2,2001 market street,69,3535001,5/8/2008,12/16/2010,85,0,11/15/2012,Approved,0,C,Approved,952,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2008,2008,2010,,,Large
2008.0553,2,1400 mission st,165,3507042,4/8/2009,4/16/2014,80,1,7/21/2008,Withdrawn,PL FILED,X,Withdrawn,1834,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,1,Cancelled,2008,2009,2014,,,Large
2008.0568,2,543 grove st,3,0807022,5/13/2008,2/17/2010,40,1,,Withdrawn,0,D,Withdrawn,645,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Cancelled,2008,2008,2010,,,Small
2008.0569,1,4 octavia st,49,0855011,5/14/2008,,85,1,,,CONSTRUCTION,C,No Action/Open,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,Open,2008,2008,,,,Medium
2008.0573,1,2636 mcallister st,1,1166008,5/14/2008,8/26/2008,40,0,8/26/2008,Withdrawn,0,V,Withdrawn,104,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Cancelled,2008,2008,2008,,,Small
2008.0612,2,1427 11th avenue,1,1842004,5/21/2008,1/6/2012,40,0,1/6/2012,Cancelled,0,V,Cancelled,1325,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Cancelled,2008,2008,2012,,,Small
2008.0614,1,1366 san bruno avenue,1,#N/A,5/21/2008,8/14/2008,#N/A,#N/A,8/14/2008,Approved,BP Filed,D,Approved,85,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,Approved,2008,2008,2008,,,Small
2008.0624,1,634 - 636 plymouth avenue,5,#N/A,5/27/2008,6/17/2010,#N/A,#N/A,7/9/2010,Approved,0,D,Approved,751,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2008,2008,2010,,,Small
2008.0633,1,1239 17th st,1,3985027,5/29/2008,2/27/2009,48,1,2/27/2009,Approved,BP Filed,C,Withdrawn,274,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,Approved,2008,2008,2009,Approved,"CU Withdrawn, not necessary, right to building",Small
2008.0636,1,1250 de haro st,1,4217006,5/29/2008,8/8/2008,40,1,8/8/2008,Withdrawn,0,V,Withdrawn,71,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Cancelled,2008,2008,2008,,,Small
2005.0876,3,345 06th st,36,3753081,9/8/2005,7/29/2009,85,1,7/29/2009,Approved,BP Filed,V,Approved,1420,1,0,0,0,0,1,0,1,1,1,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,1,1,0,Approved,2005,2005,2009,,,Medium
2013.1773,2,345 06th st,89,3753081,3/18/2014,,85,1,,Approved,BP Filed,E,No Action/Open,-1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,1,1,Open,2013,2014,,Open,Still active EE,Large
2008.0665,1,1045 texas street,3,4224035,6/5/2008,6/24/2008,40,1,7/9/2008,CEQA,0,E,EP Complete,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2008,2008,2008,,,Small
2008.0672,1,1511 york street,4,5513011,6/9/2008,11/10/2008,40,0,11/13/2008,Approved,0,E,EP Interim,154,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Cancelled,2008,2008,2008,Open,EE Still in Process,Small
2008.0686,1,3931 24th st,1,6508035,6/12/2008,10/23/2008,40,0,10/23/2008,Approved,BP APPROVED,C,Approved,133,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,Approved,2008,2008,2008,,,Small
2008.0700,1,1401 california st,95,0250001,6/13/2008,10/3/2011,65,0,10/20/2008,,PL APPROVED,E,Withdrawn,1207,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,Cancelled,2008,2008,2011,,,Large
2008.0711,1,399 fremont st,452,3747002,6/17/2008,8/8/2008,85,1,8/8/2008,Approved,0,X,Approved,52,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2008,2008,2008,,,Large
2008.0722,1,485 corbett av,1,2712003,6/19/2008,10/21/2008,40,0,10/21/2008,Approved,0,V,Approved,124,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2008,2008,2008,,,Small
2008.0723,2,1255-1275 columbus av,20,0028014,6/19/2008,6/8/2011,40,0,6/8/2011,Approved,BP Filed,V,Approved,1084,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,Approved,2008,2008,2011,,,Medium
2008.0726,1,141 albion st,2,#N/A,6/19/2008,3/15/2010,#N/A,#N/A,,CEQA,0,E,EP Complete,634,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2008,2008,2010,,,Small
2008.0730,1,3645 - 3649 23rd sreet,1,#N/A,6/20/2008,2/5/2009,#N/A,#N/A,8/26/2010,Approved,0,D,Approved,230,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2008,2008,2009,,,Small
2008.0752,1,270 granada av,2,#N/A,6/25/2008,10/23/2008,#N/A,#N/A,10/23/2008,Approved,0,D,Approved,120,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2008,2008,2008,,,Small
2009.0173,4,353 san jose av,3,6531022,3/5/2009,5/3/2011,40,1,3/17/2011,Approved,BP REINSTATED,V,Approved,789,1,1,0,0,0,0,0,2,0,1,0,1,0,0,4,0,1,0,0,0,0,0,0,1,0,1,1,0,Approved,2009,2009,2011,,,Small
2008.0797,3,235 broadway,61,0165021,7/2/2008,10/12/2010,65,0,7/22/2010,Approved,CONSTRUCTION,V,Approved,832,1,0,0,0,0,1,0,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,1,0,Approved,2008,2008,2010,,,Large
2008.0799,1,2115 geneva av,1,6323008M,7/3/2008,,40,0,,,0,C,No Action/Open,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Open,2008,2008,,,,Small
2010.1040,1,353 san jose av,3,#N/A,11/18/2010,4/21/2011,#N/A,#N/A,4/21/2011,Approved,BP REINSTATED,D,Approved,154,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,Approved,2010,2010,2011,,,Small
2013.0945,1,3643-3645 19th st,1,3598068,7/30/2013,,40,0,,,PL Filed,E,No Action/Open,-1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,Open,2013,2013,,,,Small
2008.0857,1,405 lisbon st,1,6087030,7/18/2008,,40,0,,,0,E,No Action/Open,-1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Open,2008,2008,,,,Small
2014.0727,1,3643-3645 19th st,1,#N/A,5/9/2014,,#N/A,#N/A,,,0,V,No Action/Open,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,Open,2014,2014,,,,Small
2008.0866,1,281 ellis st,1,0331014,7/23/2008,10/30/2008,130,0,,Approved,0,V,Approved,99,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2008,2008,2008,,,Small
2008.0870,1,1036 wisconsin st,1,4219004,7/24/2008,10/6/2009,40,1,,CEQA,PL Approved,E,EP Complete,439,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,Approved,2008,2008,2009,,,Small
2008.0872,1,451 34th av,1,#N/A,7/24/2008,7/16/2009,#N/A,#N/A,,CEQA,PL Approved,E,EP Complete,357,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,Approved,2008,2008,2009,,,Small
2008.0981,1,651 geary st: geary village,46,0318020,8/15/2008,2/23/2011,130,0,,,PL FILED,E,Cancelled,922,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,Cancelled,2008,2008,2011,,,Medium
2008.0985,1,1621 irving st,2,1772013,8/15/2008,1/12/2009,40,0,1/16/2009,Approved,0,E,EP Complete,150,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2008,2008,2009,,,Small
2008.0988,2,335 oak st,4,0839025,8/18/2008,12/15/2008,40,1,11/20/2008,Approved,0,V,Approved,119,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2008,2008,2008,,,Small
2008.0992,3,200 dolores street/ 1919-23 15th st,10,3557062,8/19/2008,3/25/2010,40,1,5/14/2012,Approved,BP Filed,C,Approved,583,1,1,0,0,0,1,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,1,0,Approved,2008,2008,2010,,,Medium
2008.0999,1,869 north point st,2,0026019B,8/20/2008,,40,0,,Cancelled,0,E,No Action/Open,-1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Open,2008,2008,,,,Small
2008.1031,1,538 40th av,1,1505026,8/27/2008,1/13/2009,40,0,1/16/2009,Approved,0,E,EP Complete,139,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2008,2008,2009,,,Small
2006.1374,1,3645 23rd st,1,#N/A,11/3/2006,7/20/2007,#N/A,#N/A,,Approved,0,E,EP Complete,259,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,Approved,2006,2006,2007,,,Small
2008.1053,1,1340 natoma st,1,3548065,9/3/2008,4/24/2009,40,1,,Approved,0,E,EP Complete,233,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2008,2008,2009,,,Small
2008.0496,1,3645 23rd st,1,3647032,4/29/2008,10/9/2008,40,0,10/10/2008,Approved,0,E,EP Complete,163,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,Approved,2008,2008,2008,,,Small
2008.1063,1,1280 hampshire st,3,4266013,9/9/2008,10/8/2008,40,1,10/9/2008,Approved,0,E,EP Complete,29,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2008,2008,2008,,,Small
2008.1084,3,706 mission st,185,0308001,9/11/2008,8/13/2013,0,0,7/31/2013,Approved,PL Approved,E,EP Complete,1797,1,0,0,0,0,0,0,1,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,1,1,0,1,0,Approved,2008,2008,2013,,,Large
2008.1087,1,1427 - 1429 shrader street,1,1288005,9/17/2008,1/20/2009,40,0,1/27/2012,Approved,0,E,EP Complete,125,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2008,2008,2009,,,Small
2008.1110,2,6600 third street,30,5476009,9/23/2008,11/19/2009,40,0,11/19/2009,Approved,0,C,Approved,422,1,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2008,2008,2009,,,Medium
2008.1111,1,3336 steiner st,2,0491019,9/23/2008,11/13/2008,40,0,11/13/2008,Withdrawn,0,C,Withdrawn,51,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Cancelled,2008,2008,2008,,,Small
2008.1151,1,474 11th av,1,1534026,9/30/2008,11/13/2008,40,0,12/1/2008,Approved,BP Filed,E,EP Complete,44,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,Approved,2008,2008,2008,,,Small
2007.1252,1,371 06th av,1,1438015,10/30/2007,2/19/2008,40,0,2/19/2008,Approved,0,V,Approved,112,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,Approved,2007,2007,2008,,,Small
