"","Case.Numbers","Total.Records.by.Case","Project.Name","Net.Units","Block.Lot","Min.Filed","Max.Action","Allowed.Height","Plan.Area","Case.Decision.Date","Case.Decision","Q4.Report.Status","Last.Planning.Suffix","Last.Planning.Action","Days","ER.Complete","ER.Interim","ER.Open","C","V","X","D","BP","R","Total","Diff","Multiple","Cancelled.Planning","Cancelled.BP","In.Current.Planning","BP.Reinstated","BP.Issued","Occupancy.Permit","Planning.Approved","Case...in.Q4.Report","Blocklot.in.Q4.Report","In.Q4.Report","Missing.Data","Case.Year","Filing.Year","Action.Year","Notes","More","Manual.Exclusion","QC.Check.Against.Quarterly","Possible.False.Negative","Reason","Should.Be","Possible.False.Positive","Overriden.Date","unitgrp","hgrp1","hgrp2","M","ydiff","unitgrp2"
"52",2013.1573,1,"858 florida st",1,"4085010","10/28/13 0:00","10/29/13 0:00",40,"TRUE","","","PL Filed","E","ER Complete",1,1,0,0,"FALSE","FALSE","FALSE","FALSE",0,"FALSE",1,0,0,0,0,0,0,0,0,1,1,1,1,0,2013,2013,2013,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",0,"0"
"53",2012.0978,2,"896 de haro st",2,"4095018","7/31/12 0:00","10/25/13 0:00",40,"TRUE","8/21/12","Approved","BP Filed","E","ER Complete",451,2,0,0,"FALSE","FALSE","FALSE","FALSE",0,"FALSE",2,0,0,0,0,0,0,0,0,1,1,1,1,0,2012,2012,2013,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",1,"0"
"54",2013.0817,1,"546 34th av",1,"1511034","6/18/13 0:00","10/24/13 0:00",40,"FALSE","","","PL Filed","E","ER Complete",128,1,0,0,"FALSE","FALSE","FALSE","FALSE",0,"FALSE",1,0,0,0,0,0,0,0,0,1,1,1,1,0,2013,2013,2013,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",0,"0"
"56",2013.0113,4,"35-41 lafayette street & 1043 - 104",4,"3511066","1/31/13 0:00","10/21/13 0:00",40,"TRUE","10/21/13","Approved","PL Approved","V","Approved",263,1,0,0,"FALSE","TRUE","FALSE","FALSE",2,"FALSE",4,0,0,0,0,0,0,0,0,1,1,1,1,0,2013,2013,2013,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",0,"0"
"58",2012.098,1,"946 rhode island",2,"4094024","7/31/12 0:00","10/2/13 0:00",40,"TRUE","","","BP Filed","E","ER Complete",428,1,0,0,"FALSE","FALSE","FALSE","FALSE",0,"FALSE",1,0,0,0,0,0,0,0,0,1,0,1,1,0,2012,2012,2013,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",1,"0"
"59",2011.0053,4,"25 elgin park street",1,"3502111","1/20/11 0:00","9/27/13 0:00",40,"TRUE","9/27/13","Approved","PL Approved","V","Approved",981,1,0,0,"TRUE","TRUE","FALSE","FALSE",1,"FALSE",4,0,0,0,0,0,0,1,0,1,1,1,1,0,2011,2011,2013,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",2,"0"
"61",2009.1082,3,"194 - 194a sweeny street",1,"5858024","11/19/09 0:00","9/26/13 0:00",40,"FALSE","9/26/13","Approved","BP Filed","C","Approved",1407,0,0,0,"TRUE","TRUE","FALSE","FALSE",1,"FALSE",3,0,0,1,0,0,0,0,0,1,1,1,1,0,2009,2009,2013,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",4,"0"
"62",2011.0187,3,"1001 17th st and 140 pennsylvania s",40,"3987009","2/24/11 0:00","9/26/13 0:00",48,"TRUE","9/26/13","Approved","0","X","Approved",945,1,0,0,"FALSE","FALSE","TRUE","FALSE",1,"FALSE",3,0,0,0,0,0,0,0,0,1,0,0,0,0,2011,2011,2013,"","",NA,1,NA,"","",NA,NA,"2","1","1","FALSE",2,"1"
"64",2013.0327,1,"456 27th st",1,"6580018","3/20/13 0:00","9/23/13 0:00",40,"FALSE","","","PL Filed","E","ER Complete",187,1,0,0,"FALSE","FALSE","FALSE","FALSE",0,"FALSE",1,0,0,0,0,0,0,0,0,1,0,1,1,0,2013,2013,2013,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",0,"0"
"66",2013.0725,2,"2538 03rd st",1,"4172006","6/5/13 0:00","9/20/13 0:00",45,"TRUE","","Approved","BP ISSUED","V","Approved",107,0,0,0,"FALSE","TRUE","FALSE","FALSE",1,"FALSE",2,0,0,0,0,0,0,1,0,1,1,1,1,0,2013,2013,2013,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",0,"0"
"67",2011.0924,2,"2419, 2421 & 2435 lombard st",8,"937028","4/20/12 0:00","9/19/13 0:00",40,"FALSE","9/19/13","Approved","BP Filed","C","Approved",517,1,0,0,"TRUE","FALSE","FALSE","FALSE",0,"FALSE",2,0,0,0,0,0,0,0,0,1,1,1,1,1,2011,2012,2013,"","",NA,0,NA,"","",NA,1,"1","1","1","FALSE",1,"0"
"68",2012.068,2,"645 - 649 duncan street",5,"6604039","5/25/12 0:00","9/19/13 0:00",40,"FALSE","9/19/13","Approved","PL Approved","D","Approved",482,1,0,0,"FALSE","FALSE","FALSE","TRUE",0,"FALSE",2,0,0,0,0,0,0,0,0,1,1,1,1,0,2012,2012,2013,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",1,"0"
"69",2013.1084,2,"1421 hudson ave",1,"5258026","8/8/13 0:00","9/19/13 0:00",40,"FALSE","","","BP Filed","E","ER Complete",42,1,0,0,"FALSE","FALSE","FALSE","FALSE",1,"FALSE",2,0,0,0,0,0,0,0,0,1,1,1,1,0,2013,2013,2013,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",0,"0"
"71",2013.1085,2,"1411 hudson ave",1,"5258027","8/8/13 0:00","9/19/13 0:00",40,"FALSE","","","BP Filed","E","ER Complete",42,1,0,0,"FALSE","FALSE","FALSE","FALSE",1,"FALSE",2,0,0,0,0,0,0,0,0,1,1,1,1,0,2013,2013,2013,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",0,"0"
"72",2013.0274,1,"4233 22nd st",1,"2775044","3/13/13 0:00","9/10/13 0:00",40,"FALSE","","","0","E","ER Complete",181,1,0,0,"FALSE","FALSE","FALSE","FALSE",0,"FALSE",1,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,2013,2013,"","",NA,1,NA,"","",NA,NA,"1","1","1","FALSE",0,"0"
"73",2012.0081,3,"450 hayes street",41,"808039","7/18/12 0:00","9/4/13 0:00",40,"TRUE","","","BP Filed","V","Approved",413,0,1,0,"TRUE","TRUE","FALSE","FALSE",0,"FALSE",3,0,0,0,0,0,0,0,0,1,1,1,1,0,2012,2012,2013,"","",NA,0,NA,"","",NA,NA,"2","1","1","FALSE",1,"1"
"77",2013.0799,2,"39 san carlos street",3,"3576018","6/14/13 0:00","8/30/13 0:00",45,"TRUE","8/19/13","Approved","PL Approved","E","ER Complete",77,1,0,0,"FALSE","FALSE","FALSE","FALSE",1,"FALSE",2,0,0,0,0,0,0,1,0,1,1,1,1,0,2013,2013,2013,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",0,"0"
"79",2012.011,4,"2175 market street",88,"3543011","4/19/12 0:00","8/15/13 0:00",50,"TRUE","12/27/13","Approved","CONSTRUCTION","E","ER Interim",483,0,1,0,"TRUE","TRUE","FALSE","FALSE",1,"FALSE",4,0,1,0,0,0,0,1,0,1,1,1,1,0,2012,2012,2013,"","",NA,0,NA,"","",NA,NA,"3","1","1","TRUE",1,"1"
"80",2011.043,2,"480 potrero avenue",84,"3973002C","8/23/12 0:00","8/8/13 0:00",58,"TRUE","8/8/13","Approved","BP Filed","X","Approved",350,0,0,1,"FALSE","FALSE","TRUE","FALSE",0,"FALSE",2,0,0,0,0,0,0,0,0,1,1,1,1,1,2011,2012,2013,"","",NA,0,NA,"","",NA,1,"3","1","1","FALSE",1,"1"
"82",2005.0408,4,"2290 3rd street",71,"4059009","4/26/05 0:00","8/8/13 0:00",68,"TRUE","8/8/13","Approved","BP Filed","X","Approved",3026,0,1,0,"FALSE","FALSE","TRUE","FALSE",2,"FALSE",4,0,0,0,0,0,0,0,0,1,1,1,1,0,2005,2005,2013,"","",NA,0,NA,"","",NA,NA,"3","2","1","FALSE",8,"1"
"83",2013.0171,1,"80-82 sycamore street",1,"3576076","2/14/13 0:00","8/8/13 0:00",45,"TRUE","8/8/13","Approved","BP Filed","V","Approved",175,0,0,0,"FALSE","TRUE","FALSE","FALSE",0,"FALSE",1,0,0,0,0,0,0,0,0,1,1,1,1,0,2013,2013,2013,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",0,"0"
"84",2011.0119,5,"200-214 6th street",44,"3731001","2/9/11 0:00","8/1/13 0:00",85,"TRUE","9/9/13","Approved","BP Filed","E","ER Complete",904,2,0,0,"TRUE","TRUE","FALSE","FALSE",1,"FALSE",5,0,0,0,0,0,0,1,0,1,1,1,1,0,2011,2011,2013,"","",NA,0,NA,"","",NA,NA,"2","2","2","FALSE",2,"1"
